,DE_MUNICIP_org,DE_MUNICIP,PROVINCE,LONGITUDE,LATITUDE
130,CABANAQUINTA/CABAÃ‘AQUINTA,ALLER,Asturias,-5.62242,43.161048
131,CABANES,CABANES,Castelló/Castellón,0.045411887,40.15610366
132,CABANES,CABANES,Girona,2.97795707,42.3075044
133,CABEZAS DE SAN JUAN (LAS),LAS CABEZAS DE SAN JUAN,Sevilla,-5.940107107,36.98160806
134,CABEZON DE LA SAL,CABEZÓN DE LA SAL,Cantabria,-4.236861111,43.30894444
135,CABEZON DE LIEBANA,CABEZÓN DE LIÉBANA,Cantabria,-4.575305556,43.13355556
136,CABRERA D?ANOIA,CABRERA D'ANOIA,Barcelona,1.703878862,41.47761659
137,CABRERA DÂ´ANOIA,CABRERA D'ANOIA,Barcelona,1.703878862,41.47761659
138,CACERES,CÁCERES,Cáceres,-6.37184534,39.47450994
139,CALACEITE,CALACEITE,Teruel,0.187723968,41.01629921
140,CALAFELL,CALAFELL,Tarragona,1.568709082,41.20099975
141,CALAHORRA DE BOEDO,CALAHORRA DE BOEDO,Palencia,-4.38604413,42.57537065
142,CALAMONTE,CALAMONTE,Badajoz,-6.386765724,38.88891487
143,CALANDA,CALANDA,Teruel,-0.231169093,40.93899307
144,CALATAYUD,CALATAYUD,Zaragoza,-1.641848207,41.35314501
145,CALAÃ‘AS,CALAÑAS,Huelva,-6.878480753,37.65476084
146,CALDES D'ESTRAC,CALDES D'ESTRAC,Barcelona,2.52762275,41.57243739
147,CALLDETENES,CALLDETENES,Barcelona,2.284340343,41.92409728
148,CALVIA,CALVIÀ,Illes Balears,2.505278075,39.5636065
149,CALZADA DE LOS MOLINOS,CALZADA DE LOS MOLINOS,Palencia,-4.650780658,42.3280749
150,CALZADA DE VALDUNCIEL,CALZADA DE VALDUNCIEL,Salamanca,-5.703483222,41.08687546
151,CAMARGO,CAMARGO,Cantabria,-3.855083333,43.42352778
152,CAMARMA DE ESTERUELAS,CAMARMA DE ESTERUELAS,Madrid,-3.378682715,40.54912598
153,CAMBRE,CAMBRE,A Coruña,-8.344703975,43.29262866
154,CAMBRILS,CAMBRILS,Tarragona,1.057672871,41.07100981
155,CAMPO DE CRIPTANA,CAMPO DE CRIPTANA,Ciudad Real,-3.12541264,39.40524623
156,CAMPO REAL,CAMPO REAL,Madrid,-3.381597811,40.33802681
157,CAMPOO DE ENMEDIO,CAMPOO DE ENMEDIO,Cantabria,-4.147305556,42.98633333
158,CANDELARIA,CANDELARIA,Santa Cruz de Tenerife,-16.37002705,28.35523524
159,CAPDEPERA,CAPDEPERA,Illes Balears,3.432158664,39.70268683
160,CAPILEIRA,CAPILEIRA,Granada,-3.358508544,36.96145234
161,CARBALLO,CARBALLO,A Coruña,-8.689273431,43.21338372
162,CARBONERAS,CARBONERAS,Almería,-1.895097785,36.99678677
163,CARMONA,CARMONA,Sevilla,-5.638051,37.472373
164,CARRANQUE,CARRANQUE,Toledo,-3.898606124,40.16962251
165,CARRION DE LOS CONDES,CARRIÓN DE LOS CONDES,Palencia,-4.604350558,42.33766973
166,CARTAGENA,CARTAGENA,Murcia,-0.984930263,37.60088828
167,CARTAMA,CÁRTAMA,Málaga,-4.632378815,36.71056767
168,CARTAYA,CARTAYA,Huelva,-7.15511593,37.28290686
169,CARTES,CARTES,Cantabria,-4.070093577,43.32347614
170,CASAS ALTAS,CASAS ALTAS,València/Valencia,-1.261719262,40.03963151
171,CASAS BAJAS,CASAS BAJAS,València/Valencia,-1.260316427,40.02423248
172,CASTAÃ‘EDA,CASTAÑEDA,Cantabria,-3.93,43.31019444
173,CASTELLANOS DE MORISCOS,CASTELLANOS DE MORISCOS,Salamanca,-5.590557902,41.01876351
174,CASTELLANOS DE VILLIQUERA,CASTELLANOS DE VILLIQUERA,Salamanca,-5.694872549,41.05123956
175,CASTELLDEFELS,CASTELLDEFELS,Barcelona,1.976690659,41.28010588
176,CASTELLOLI,CASTELLOLÍ,Barcelona,1.700348105,41.59814617
177,CASTELLON,CASTELLÓ,València/Valencia,-0.514188818,39.07947769
178,CASTELLON DE LA PLANA,CASTELLÓ DE LA PLANA/CASTELLÓN DE LA PLANA,Castelló/Castellón,-0.037848604,39.98604534
179,CASTELLON LA PLANA/CASTELLO PL,CASTELLOLÍ,Barcelona,1.700348105,41.59814617
180,CASTILBLANCO DE LOS ARROYOS,CASTILBLANCO DE LOS ARROYOS,Sevilla,-5.990089988,37.67489782
181,CASTRILLO DE RIOPISUERGA,CASTRILLO DE RIOPISUERGA,Burgos,-4.252171782,42.51544387
182,CASTRILLO DE VILLAVEGA,CASTRILLO DE VILLAVEGA,Palencia,-4.481411315,42.45587518
183,CASTROJERIZ,CASTROJERIZ,Burgos,-4.139392204,42.28828723
184,CAZORLA,CAZORLA,Jaén,-3.001851995,37.91068908
185,CAÃ‘AMERO,CAÑAMERO,Cáceres,-5.388349562,39.3782484
186,CAÃ‘IZAL,CAÑIZAL,Zamora,-5.367722321,41.16711832
187,CEA,CEA,León,-5.012574908,42.46340758
188,CENDEJAS DE ENMEDIO,CENDEJAS DE ENMEDIO,Guadalajara,-2.872471187,40.98157371
189,CENDEJAS DE LA TORRE,CENDEJAS DE LA TORRE,Guadalajara,-2.850658929,40.979213
190,CENIZATE,CENIZATE,Albacete,-1.661369435,39.30411742
191,CERVELLO,CERVELLÓ,Barcelona,1.95893655,41.39609482
192,CESPEDOSA DE TORMES,CESPEDOSA DE TORMES,Salamanca,-5.580216305,40.54367412
193,CHICLANA DE LA FRONTERA,CHICLANA DE LA FRONTERA,Cádiz,-6.1493492,36.41960063
194,CHILCHES,CHILOECHES,Guadalajara,-3.161646065,40.5730001
195,CHILCHES/XILXES,CHILOECHES,Guadalajara,-3.161646065,40.5730001
196,CHINCHILLA DE MONTE-ARAGON,CHINCHILLA DE MONTE-ARAGÓN,Albacete,-1.724648889,38.92110241
197,CHINCHON,CHINCHÓN,Madrid,-3.423102611,40.13994193
198,CHOZAS DE ABAJO,CHOZAS DE ABAJO,León,-5.686831183,42.50840867
199,CIEZA,CIEZA,Murcia,-1.42772981,38.23659383
200,CIEZA,CIEZA,Cantabria,-4.096722222,43.22105556
201,CIHUELA,CIHUELA,Soria,-1.999620363,41.40618263
202,CILLORIGO DE LIEBANA,CILLORIGO DE LIÉBANA,Cantabria,-4.600472222,43.17725
203,CIUDAD REAL,CIUDAD REAL,Ciudad Real,-3.9284854,38.98489842
204,CIUDAD RODRIGO,CIUDAD RODRIGO,Salamanca,-6.533182942,40.59724038
205,CIUTADELLA DE MENORCA,CIUTADELLA DE MENORCA,Illes Balears,3.83533657,40.00081401
206,COLLAZOS DE BOEDO,COLLAZOS DE BOEDO,Palencia,-4.483577476,42.61976374
207,COLMENAR DE OREJA,COLMENAR DE OREJA,Madrid,-3.387465024,40.10772128
208,CONDEMIOS DE ABAJO,CONDEMIOS DE ABAJO,Guadalajara,-3.107529563,41.21907954
209,CONIL DE LA FRONTERA,CONIL DE LA FRONTERA,Cádiz,-6.088017837,36.27700066
210,CONSELL,CONSELL,Illes Balears,2.81323417,39.66853149
211,CORBERA DE LLOBREGAT,CORBERA DE LLOBREGAT,Barcelona,1.927821674,41.41633996
212,CORDOBA,CÓRDOBA,Córdoba,-4.776241735,37.88519997
213,CORIA DEL RIO,CORIA DEL RÍO,Sevilla,-6.051569001,37.28514415
214,CORVERA DE TORANZO,CORVERA DE TORANZO,Cantabria,-3.939277778,43.21258333
215,COSLADA,COSLADA,Madrid,-3.565560449,40.42627874
216,CRETAS,CRETAS,Teruel,0.210665532,40.92781943
217,CUADROS,CUADROS,León,-5.638917657,42.71053443
218,CUARTE DE HUERVA,CUARTE DE HUERVA,Zaragoza,-0.932349472,41.59164078
219,CUBILLAS DE RUEDA,CUBILLAS DE RUEDA,León,-5.176745867,42.65628462
