COD_INE;ID_REL;COD_GEO;COD_PROV;PROVINCIA;NOMBRE_ACTUAL;POBLACION_MUNI;SUPERFICIE;PERIMETRO;COD_INE_CAPITAL;CAPITAL;POBLACION_CAPITAL;HOJA_MTN25;LONGITUD_ETRS89_REGCAN95;LATITUD_ETRS89_REGCAN95;ORIGENCOOR;ALTITUD;ORIGENALTITUD
02041000000;1020411;02400;02;Albacete;Jorquera;358;6794,01;57197;02041000401;Jorquera;290;0744-3,0743-4;-1,520189377;39,17508729;Detección automática;625;MDT
02042000000;1020426;02410;02;Albacete;Letur;908;26362,27;85101;02042000302;Letur;258;0867-3;-2,101096519;38,36646658;Detección automática;736;MDT
02043000000;1020432;02420;02;Albacete;Lezuza;1293;36061,17;86173;02043000101;Lezuza;797;0789-1,0789-2;-2,354437704;38,948979;Detección automática;913;MDT
02044000000;1020447;02430;02;Albacete;Liétor;1050;31318,96;78992;02044000501;Liétor;983;0842-4;-1,95448632;38,54076278;Detección automática;638;MDT
02045000000;1020450;02440;02;Albacete;Madrigueras;4670;7334,55;35851;02045000101;Madrigueras;4640;0743-3;-1,799925126;39,23728354;Detección automática;686;MDT
02046000000;1020463;02450;02;Albacete;Mahora;1478;10814,91;48081;02046000101;Mahora;1442;0743-3;-1,725972012;39,2127674;Detección automática;663;MDT
02047000000;1020479;02460;02;Albacete;Masegoso;117;10387,0257;42914;02047000301;Masegoso;47;0815-4;-2,317252163;38,71731899;Detección automática;1109;MDT
02048000000;1020485;02470;02;Albacete;Minaya;1410;6998,11;47971;02048000101;Minaya;1401;0741-2;-2,321118022;39,27187952;Detección automática;725;MDT
02049000000;1020498;02480;02;Albacete;Molinicos;756;14358,37;71843;02049001101;Molinicos;403;0866-2;-2,240022111;38,46620474;Detección automática;828;MDT
02050000000;1020501;02490;02;Albacete;Montalvos;74;2466,13;23443;02050000101;Montalvos;71;0765-1;-2,027371944;39,16611447;Detección automática;708;MDT
02051000000;1020518;02500;02;Albacete;Montealegre del Castillo;2049;17741,17;54756;02051000101;Montealegre del Castillo;2033;0818-2;-1,324689759;38,78693044;Detección automática;812;MDT
02052000000;1020523;02510;02;Albacete;Motilleja;680;2382,44;24700;02052000101;Motilleja;679;0743-3;-1,790616649;39,18017055;Detección automática;677;MDT
02053000000;1020539;02520;02;Albacete;Munera;3358;23053,83;58734;02053000101;Munera;3337;0764-3;-2,482705993;39,03997438;Detección automática;929;MDT
02054000000;1020544;02530;02;Albacete;Navas de Jorquera;514;4225,9722;26041;02054000101;Navas de Jorquera;514;0743-1;-1,721421493;39,27953998;Detección automática;704;MDT
02055000000;1020557;02540;02;Albacete;Nerpio;1139;43631,84;101672;02055000901;Nerpio;683;0909-2;-2,302116794;38,1480833;Detección automática;1080;MDT
02056000000;1020560;02550;02;Albacete;Ontur;1892;5440,9;30491;02056000101;Ontur;1892;0844-1;-1,498159602;38,61431455;Detección automática;649;MDT
02057000000;1020576;02560;02;Albacete;Ossa de Montiel;2236;24370,76;69230;02057000201;Ossa de Montiel;2120;0788-1;-2,74468282;38,96263379;Detección automática;903;MDT
02058000000;1020582;02570;02;Albacete;Paterna del Madera;329;11233,8382;53946;02058000601;Paterna del Madera;261;0841-2;-2,345821131;38,5974636;Detección automática;1131;MDT
02059000000;1020595;02590;02;Albacete;Peñascosa;330;18925,8047;106221;02059000501;Peñascosa;205;0815-3;-2,409353604;38,6716296;Detección automática;1168;MDT
02060000000;1020609;02580;02;Albacete;Peñas de San Pedro;1493;15876,06;73331;02060000701;Peñas de San Pedro;1101;0816-4;-2,002194089;38,72660538;Detección automática;1008;MDT
02061000000;1020616;02600;02;Albacete;Pétrola;659;7460,7346;40804;02061000201;Pétrola;539;0817-2;-1,55661056;38,82571043;Detección automática;872;MDT
02062000000;1020621;02610;02;Albacete;Povedilla;379;4942,7325;35557;02062000101;Povedilla;361;0814-4;-2,603154384;38,70119671;Detección automática;863;MDT
02063000000;1020637;02630;02;Albacete;Pozohondo;1541;13642,45;49375;02063000501;Pozohondo;1010;0816-4;-1,910308386;38,721017;Detección automática;868;MDT
02064000000;1020642;02620;02;Albacete;Pozo-Lorente;394;8098,71;36438;02064000101;Pozo-Lorente;388;0767-3;-1,506003568;39,07676242;Detección automática;767;MDT
02065000000;1020655;02640;02;Albacete;Pozuelo;455;13397,79;48394;02065000201;Pozuelo;415;0816-1;-2,101401833;38,80919665;Detección automática;848;MDT
02066000000;1020668;02650;02;Albacete;La Recueja;215;2973,9107;39019;02066000101;La Recueja;215;0744-3;-1,490977205;39,17530731;Detección automática;538;MDT
02067000000;1020674;02660;02;Albacete;Riópar;1341;8100,28;56049;02067000401;Riópar;1155;0841-3,0866-1;-2,416793854;38,4989788;Detección automática;968;MDT
02068000000;1020680;02670;02;Albacete;Robledo;390;12008,4392;51626;02068000301;Robledo;247;0815-1;-2,450469454;38,75811044;Detección automática;1030;MDT
02069000000;1020693;02680;02;Albacete;La Roda;15792;39788,07;132120;02069000101;La Roda;15615;0742-3;-2,157391588;39,20769102;Detección automática;706;MDT
02070000000;1020707;02690;02;Albacete;Salobre;444;4952,8648;39261;02070000201;Salobre;291;0840-2;-2,549511582;38,59284674;Detección automática;914;MDT
02071000000;1020714;02700;02;Albacete;San Pedro;1158;8311,597;37014;02071000401;San Pedro;1064;0816-1;-2,187878809;38,82564488;Detección automática;847;MDT
02072000000;1020729;02710;02;Albacete;Socovos;1654;13912,13;65485;02072000401;Socovos;1070;0889-2;-1,984932625;38,33249411;Detección automática;738;MDT
02073000000;1020735;02720;02;Albacete;Tarazona de la Mancha;6136;21267,16;67795;02073000101;Tarazona de la Mancha;6068;0742-2;-1,912846935;39,26533717;Detección automática;708;MDT
02074000000;1020740;02730;02;Albacete;Tobarra;8002;32521,78;79966;02074000601;Tobarra;6993;0843-1;-1,692343591;38,58855057;Detección automática;628;MDT
